question,possible answers,Right answer,topic
What does the acronym IDE stand for in programming?,"A. Integrated Developer Environment , B. Integrated Development Establish , C. Integrated Developer Establish , D. Integrated Development Environment",D,programming
What programming language is commonly used for developing web applications?,"A. Java, B. Python, C. PHP, D. Ruby",C. PHP,programming
What data type is used to store integer values in programming languages?,"A) float, B) double, C) char, D) int",D) int,programming
"In programming, what does the acronym IDE stand for?"," , A) Integrated Development Environment, B) Intelligent Design Engineering, C) Input Data Evaluation, D) Interactive Digit Extraction,  ",A) Integrated Development Environment,programming
What is a programming language?,"A. A language used to communicate with other programmers., B. A language used to communicate with computers., C. A language used to communicate with animals., D. None of the above.",B. A language used to communicate with computers.,programming
What is a looping structure in programming?,"a) A way to repeat a block of code multiple times, b) A way to create a new variable, c) A way to manipulate strings, d) A way to delete a file",a) A way to repeat a block of code multiple times,programming
What is the purpose of a loop in programming? ,"A) To cause a program to crash , B) To repeat a section of code multiple times , C) To create a new function , D) To print a variable in the console ",B) To repeat a section of code multiple times.,programming
What does the acronym IDE stand for?,"A) International Data Exchange, B) Integrated Development Environment, C) Internet Data Exchange, D) Integrated Data Engineering",B) Integrated Development Environment,programming
What does the acronym IDE stands for in the programming world?,"a) Integrated Design Environment, b) Integrated Development Environment, c) Intelligent Development Environment, d) Intelligent Design Environment",b) Integrated Development Environment,programming
What programming language was developed by Microsoft?,"A) Java, B) Python, C) Ruby, D) C#,  ",D,programming
Which of the following is a programming language commonly used for developing mobile applications?,"A) Java, B) Python, C) Ruby, D) C#",A) Java,programming
What does OOP stand for in programming?,"A) Object-Oriented Programming, B) Object-Oriented Processing, C) Object-Oriented Procedure, D) Online Object Programming ",A,programming
What is an object in programming?,"A. A variable that stores a single value., B. A code block that can be reused., C. A collection of related data and methods., D. A conditional statement that executes a block of code.",C. A collection of related data and methods.,programming
What is a variable in programming?,"A) A method of inputting data into a program, B) A way to repeat a section of code, C) A storage location for data in a program, D) A program that translates code for the computer",Correct Answer: C) A storage location for data in a program.,programming
